song,moods,top_versions,notes
Dark Star,cosmic; spiritual; exploratory; deep,1972-04-08; 1972-05-11; 1973-12-06; 1978-12-31; 1989-10-26,"The default 'something bigger than me' song; fans debate versions endlessly, but these dates recur in version talk."
Eyes of the World,open; hopeful; flow-state; uplifting,1973-11-11; 1974-06-20; 1974-08-06; 1977-06-08; 1990-03-29,Often the easiest way to make a recommendation feel both spiritual and buoyant.
Help on the Way > Slipknot! > Franklin's Tower,renewal; lift; spiritual; joyful,1976-06-14; 1977-02-26; 1977-05-09,A core 'things are opening up' sequence.
Scarlet Begonias > Fire on the Mountain,euphoric; dancey; blissful; expansive,1977-05-08; 1977-05-17; 1983-10-14,The app's go-to for ecstatic release.
Morning Dew,cathartic; apocalyptic; cleansing; triumphant,1977-05-08; 1977-04-27,"Perfect for users who need emotional release, not just comfort."
Bird Song,healing; reflective; spiritual; gentle,1972-08-27; 1973-06-22; 1984-07-15,Frequently named in hard-times and spiritual threads.
Brokedown Palace,grief; acceptance; comfort; homecoming,1971-12-07,Breakup/healing consensus leans very hard in this direction.
Box of Rain,comfort; resilience; tenderness,1972-09-24; 1990-03-29,Shows up repeatedly in 'songs that help you through hard times' conversations.
Black Muddy River,perseverance; solitude; resolve,1989-07-07; 1990-09-20,Often framed as a keep-going song.
Row Jimmy,tender; wistful; heartbroken; drifting,1977-05-08; 1989-07-04; 1990-07-19,A prime breakup / soft-sad recommendation.
Wharf Rat,redemption; weariness; grace,1971-02-18; 1974-09-11,Good for users who need sorrow plus a flicker of mercy.
Stella Blue,late-night; mourning; beautiful sadness,1976-06-15; 1976-07-18,For when the user wants dignity inside sadness.
Comes a Time,heart-open; consoling; soulful,1971-12-04; 1977-05-19,Another elite breakup / healing vector.
Black Peter,mortality; acceptance; stillness,1972-09-21; 1978-04-14,Useful for heavy moods where the app should not force false cheer.
China Cat Sunflower > I Know You Rider,joyful; kinetic; traveling; sunny,1972-09-09; 1973-11-14,One of the easiest ways to recommend motion and joy together.
Jack Straw,cinematic; driving; restless,1979-01-11; 1981-03-09,Ideal for road-trip and restless moods.
Playing in the Band,restless; psychedelic; open-ended,1972-11-18; 1976-06-22; 1977-02-26,A great 'I need to get out of my head by going deeper into it' song.
The Other One,primal; dark; explosive,1971-02-20; 1973-02-28; 1979-12-26,"For users who want force, not comfort."
Shakedown Street,funky; dancey; cool; night-drive,1982-04-05; 1978-11-24; 1979-10-27,The easiest Dead lane for users wanting groove first.
Dancin' in the Street,party; motion; release,1976-06-09; 1978-10-20,Good for pure dance and house-party moods.
Terrapin Station,mythic; spiritual; questing,1977-05-22; 1987-09-18; 1991-06-11,Works when a recommendation should feel like a pilgrimage.
Sugaree,sultry; patient; burning,1977-05-19; 1983-10-17,Excellent for sensual or smoldering moods.
Althea,wistful; soulful; night-drive,1980-05-16,A strong bridge song for listeners who don't yet love the weirder side.
The Wheel,hopeful; redemptive; circular,1980-11-30; 1990-03-29,Great for 'I need things to move forward again' recommendations.
Uncle John's Band,communal; warm; hopeful,1974-08-06; 1979-12-26,Use when the user wants belonging.
He's Gone,grief; release; communal mourning,1973-11-17; 1990-09-19,Particularly useful in loss-aware recommendation logic.
Greatest Story Ever Told,amped; rowdy; sunny,1972-08-27,Very good for quick-energy recommendations.
Hard to Handle,swagger; bar-band fire; raw,1971-08-06,"For confident, chest-out moods."
Looks Like Rain,yearning; stormy; romantic sadness,1972-07-16,"A precise fit for rainy, lonely, reflective moods."
Touch of Grey,recovery; resilience; comeback,1987-03-27; 1985-11-10,The most literal resilience song in the dataset.
